item,n_sample_age,n_known_age,prop_known_age
inspektorka,30,30,1
inspirativní,44,44,1
instalatér,73,73,1
instalatérka,43,43,1
inteligentní,37,37,1
internet,44,44,1
introvertní,33,33,1
invalidní,29,29,1
inženýr,31,31,1
inženýrka,37,37,1
islám,51,51,1
jablko,71,71,1
jabloň,33,33,1
jahoda,94,94,1
jaro,37,37,1
javor,36,36,1
jazyk,76,76,1
jazz,37,37,1
jebat,32,32,1
jedle,51,51,1
jedna,51,51,1
jednat,37,37,1
jednoduchá,44,44,1
jednoduchý,32,32,1
jednorožec,49,49,1
jednoznačná,36,36,1
jednoznačný,51,51,1
jedovatá,43,42,0.9767441860465116
jedovatý,36,36,1
jehla,71,71,1
jehličnan,37,36,0.972972972972973
jehněčí,29,29,1
jelen,78,78,1
jemná,33,33,1
jemný,49,49,1
jeptiška,43,43,1
jeskyně,36,36,1
jet,31,31,1
jetel,36,36,1
jezero,78,78,1
jeřábnice,51,44,0.8627450980392157
jeřábník,33,32,0.9696969696969697
ještěrka,41,41,1
ježek,39,39,1
ježíšek,32,32,1
jistota,43,43,1
jitrocel,49,49,1
jizva,38,38,1
jméno,35,35,1
jogurt,43,43,1
johařit,29,3,0.10344827586206896
joint,29,29,1
judaismus,36,36,1
jásat,32,32,1
játra,32,32,1
jídlo,37,37,1
jíst,33,33,1
jít,36,36,1
jóga,36,36,1
kabelka,75,75,1
kabriolet,43,42,0.9767441860465116
kabát,39,39,1
kachna,42,42,1
kadeřnice,44,44,1
kadeřník,78,78,1
kakat,35,35,1
kaktus,92,92,1
kalendář,38,38,1
kalhotky,85,85,1
kalhoty,76,76,1
kalkulačka,89,89,1
kamarád,34,34,1
kamarádka,51,51,1
kandidovat,51,51,1
kapela,36,36,1
kapitalismus,36,36,1
kapr,55,55,1
kapradí,49,49,1
kapsa,39,39,1
karafiát,35,35,1
karate,37,37,1
karavan,38,38,1
katolička,37,37,1
katolík,49,49,1
kaviár,30,30,1
kavárna,33,33,1
kazatel,31,31,1
kazatelka,32,32,1
kazeta,43,43,1
keplot,46,10,0.21739130434782608
kečup,33,33,1
kino,37,37,1
kiwi,94,94,1
kladivo,38,38,1
klaun,42,42,1
klavír,38,38,1
klec,39,39,1
klid,32,32,1
klidná,37,37,1
klidný,37,37,1
klimbíř,36,9,0.25
klitoris,34,33,0.9705882352941176
klobouk,76,76,1
klobása,42,42,1
klokan,89,89,1
kloub,36,36,1
kloudín,30,3,0.1
klout,51,8,0.1568627450980392
klovní,34,4,0.11764705882352941
kluk,77,77,1
klávesnice,39,39,1
klášter,37,37,1
klín,51,51,1
klíč,38,38,1
klíčová dírka,39,39,1
klíště,29,29,1
knedlík,43,43,1
kniha,41,41,1
knihovna,29,29,1
knihovnice,37,37,1
knihovník,55,55,1
knoflík,41,41,1
knír,88,88,1
kníže,37,37,1
knížka,37,37,1
kněz,43,43,1
kněžka,51,49,0.9607843137254902
kněžna,31,31,1
koala,41,41,1
koberec,41,41,1
kofein,31,31,1
kohout,36,36,1
kohoutek,41,41,1
kokain,37,37,1
kokos,39,39,1
kolega,33,33,1
kolegyně,36,36,1
koleno,79,79,1
kolent,51,8,0.1568627450980392
kolečko,39,39,1
kolo,88,88,1
koloběžka,36,36,1
kolonialismus,37,37,1
kolonie,36,36,1
koláč,43,43,1
kolíček,42,42,1
komedie,35,35,1
komerční,31,31,1
kompas,38,38,1
kompostér,51,50,0.9803921568627451
kompresor,37,36,0.972972972972973
komunikovat,43,43,1
komunismus,51,50,0.9803921568627451
komunita,46,46,1
komár,36,36,1
komín,31,31,1
koncert,34,34,1
kondom,85,85,1
konev,36,36,1
konverzovat,43,43,1
konvice,38,38,1
konzervatismus,37,37,1
konzervativní,31,31,1
kopat,51,51,1
kopačka,34,34,1
kopec,51,51,1
kopí,42,42,1
kopěná,37,3,0.08108108108108109
kopěství,232,29,0.125
korektnost,33,33,1
koriandr,49,48,0.9795918367346939
korolně,37,2,0.05405405405405406
koruna,38,38,1
korupce,31,31,1
korán,33,32,0.9696969696969697
kosa,49,49,1
kosatka,51,51,1
kosmetik,55,55,1
kosmetička,36,36,1
kosmonaut,42,42,1
kost,87,87,1
kostel,74,74,1
kostka,42,42,1
kostra,41,41,1
kostýmek,51,51,1
kotník,42,42,1
kotva,39,39,1
koule,49,49,1
koupelna,31,31,1
koupit,36,36,1
kousat,31,31,1
kouř,51,51,1
kouřit,34,34,1
kovboj,39,39,1
kovář,31,31,1
kovářka,43,43,1
koza,73,72,0.9863013698630136
kozy,32,32,1
kočka,75,75,1
kořen,31,31,1
kořeny,41,41,1
koš,38,38,1
košile,90,90,1
koště,42,42,1
košík,42,42,1
krab,41,41,1
krabice,38,38,1
kraj,37,36,0.972972972972973
krajní,51,51,1
krasobruslař,55,55,1
krasobruslařka,36,36,1
krasobruslení,43,43,1
kravata,41,41,1
kraťasy,32,32,1
krb,29,29,1
kremace,34,33,0.9705882352941176
kretén,37,37,1
kreténka,46,36,0.782608695652174
krev,30,30,1
kriminálnice,31,31,1
kriminálník,43,43,1
krize,43,43,1
krk,37,37,1
krkat,32,32,1
krocan,39,39,1
krokodýl,42,42,1
krosaný,49,6,0.12244897959183673
krtek,31,31,1
kruh,69,69,1
krutá,32,32,1
krutý,51,51,1
kružítko,81,81,1
krychle,73,73,1
krysa,42,42,1
krájet,36,36,1
král,67,67,1
královna,96,96,1
království,46,46,1
králík,94,94,1
krást,51,51,1
kráta,43,5,0.11627906976744186
krátká,29,29,1
krátký,55,55,1
kráva,79,79,1
krůně,44,8,0.18181818181818182
ksicht,43,42,0.9767441860465116
kubézní,34,2,0.058823529411764705
kuchat,32,32,1
kuchař,37,37,1
kuchařka,37,37,1
kuchyň,72,72,1
kudar,30,2,0.06666666666666667
kukuřice,41,41,1
kulatá,32,32,1
kulatý,34,33,0.9705882352941176
kuleba,32,3,0.09375
kulečník,42,42,1
kultura,34,34,1
kumporní,31,0,0
kunda,37,37,1
kurva,33,33,1
kurátor,51,48,0.9411764705882353
kurátorka,37,37,1
kutit,37,36,0.972972972972973
kuzlavá,36,5,0.1388888888888889
kuře,39,39,1
kuželka,39,39,1
kvádr,32,32,1
kvést,37,37,1
květ,94,94,1
květina,70,70,1
květinář,36,36,1
květinářka,33,33,1
květák,39,39,1
kyselá,51,51,1
kyselý,44,44,1
kytara,41,41,1
kytarista,34,34,1
kytaristka,33,32,0.9696969696969697
kámen,33,33,1
káva,78,78,1
kázat,51,51,1
křehká,51,51,1
křehký,37,37,1
křesťan,51,51,1
křesťanka,31,31,1
křeček,36,36,1
křeštanství,37,37,1
křivá,34,33,0.9705882352941176
křivý,43,42,0.9767441860465116
křičet,31,31,1
křídlo,75,75,1
kšandy,38,38,1
kšiltovka,51,51,1
kůra,51,51,1
kůň,71,71,1
kůže,51,51,1
laboratoř,39,39,1
labuť,38,38,1
lahev,42,42,1
lahodná,43,43,1
lahodný,33,33,1
lajkovat,35,35,1
lakomá,32,32,1
lakomý,51,51,1
lama,39,39,1
lampa,39,39,1
lanovka,44,44,1
lapatá,37,7,0.1891891891891892
lavička,42,42,1
laň,29,29,1
lebka,49,49,1
led,30,30,1
ledabylá,37,36,0.972972972972973
ledabylý,33,32,0.9696969696969697
lednice,38,38,1
ledovec,42,42,1
ledvina,34,34,1
legrační,30,30,1
legíny,51,51,1
lehká,43,43,1
lehký,33,33,1
les,75,75,1
lesba,46,46,1
letadlo,74,74,1
letiště,42,42,1
letět,36,36,1
leukémie,31,31,1
lev,75,75,1
levice,51,51,1
levná,49,49,1
levný,37,37,1
ležet,34,34,1
lhostejnost,37,37,1
liberalismus,37,37,1
liberální,33,33,1
libuně,44,9,0.20454545454545456
lidová,36,36,1
lidový,34,34,1
lidská,36,36,1
lidský,34,33,0.9705882352941176
lilek,76,76,1
lilie,34,33,0.9705882352941176
limonáda,43,43,1
limuzína,73,72,0.9863013698630136
lingvistika,34,34,1
list,74,74,1
listnáč,49,45,0.9183673469387755
literatura,36,36,1
livenná,37,6,0.16216216216216217
liška,78,78,1
lodičky,44,44,1
logická,32,32,1
logický,33,33,1
loket,70,70,1
lonivý,33,12,0.36363636363636365
lopata,38,38,1
lotr,31,31,1
lotryně,33,32,0.9696969696969697
loubá,37,4,0.10810810810810811
louka,46,46,1
loupat,36,36,1
loutka,93,93,1
louže,42,42,1
lovec,85,85,1
lovit,51,51,1
lovkyně,34,34,1
loď,36,36,1
loďka,41,41,1
ložnice,44,44,1
lstivá,34,34,1
lstivý,43,42,0.9767441860465116
lubání,33,6,0.18181818181818182
luk,78,78,1
lump,51,51,1
luxovat,49,49,1
lvice,37,37,1
lysá,46,45,0.9782608695652174
lysý,30,30,1
lákavá,46,46,1
lákavý,30,30,1
láska,36,36,1
láskyplná,44,44,1
láskyplný,32,32,1
lék,31,31,1
lékař,41,41,1
lékařství,33,33,1
lékárna,38,38,1
léto,51,51,1
léčba,37,37,1
léčit,37,37,1
líbit se,43,42,0.9767441860465116
líbánky,31,31,1
líná,44,44,1
líný,32,32,1
lípa,37,37,1
lítost,51,51,1
lživá,43,42,0.9767441860465116
