item,age_PC1,age_PC2,age_PC3,n_known_age,age_mode,prop_mode,n_mode,0_6,07_17,18_30,31_50,51_65,66_80,81+,no age,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
cholerická,0.24898463078786032,-0.8845521227288787,0.06682943928068814,37,31-50,0.266023166023166,1,0.01287001287001287,0.13088803088803092,0.21647361647361646,0.266023166023166,0.07232947232947233,0.05431145431145431,0.0038610038610038607,0.24324324324324326,NA,NA,cholerická,bad-tempered,f,NA,cz,words,adjective,word_267,sociolex
cholerický,-2.186569681655207,-1.3759770162488993,0.4010826201571606,31,31-50,0.3228878648233487,1,0.011059907834101382,0.016436251920122887,0.11321044546850999,0.3228878648233487,0.2691244239631337,0.11751152073732721,0.02073732718894009,0.12903225806451613,NA,NA,cholerický,bad-tempered,m,NA,cz,words,adjective,word_268,sociolex
choreograf,0.46161711631391933,-2.1412112221343405,0.39532230740778723,37,18-30,0.41666666666666663,1,0,0.02252252252252252,0.41666666666666663,0.30855855855855857,0.06981981981981981,0.006756756756756757,0.013513513513513514,0.16216216216216217,NA,NA,choreograf,choreographer (male),m,a,cz,words,noun,word_269,sociolex
choreografka,0.9870727974523842,-2.1793093136836563,0.6572156938181863,49,18-30,0.4642857142857143,1,0,0.057823129251700675,0.4642857142857143,0.2908163265306123,0.039115646258503396,0.00510204081632653,0,0.14285714285714285,NA,NA,choreografka,choreographer (female),f,a,cz,words,noun,word_270,sociolex
choť,-2.3524657637339956,-0.5574804683180561,0.7148217501919347,33,31-50,0.27222222222222225,1,0,0.00505050505050505,0.12575757575757576,0.27222222222222225,0.21161616161616162,0.14090909090909093,0.09292929292929293,0.15151515151515152,NA,NA,choť,spouse,a,a,cz,words,noun,word_272,sociolex
chryzantéma,-1.5923142565635298,0.8982986094198572,-0.2409168376633892,29,no age,0.3448275862068966,1,0.03940886699507389,0.010673234811165846,0.07963875205254514,0.16871921182266011,0.11124794745484401,0.12848932676518884,0.11699507389162561,0.3448275862068966,NA,NA,chryzantéma,chrysanthemum,f,i,cz,words,noun,word_276,sociolex
chrám,-2.9604470207466025,1.788468506494789,0.7696202081648207,43,no age,0.27906976744186046,1,0.01184939091915836,0.015725359911406424,0.038981173864894796,0.07580287929125139,0.176578073089701,0.24169435215946847,0.16029900332225913,0.27906976744186046,NA,NA,chrám,temple (worship),m,i,cz,words,noun,word_273,sociolex
chránit,-0.9753336833902816,-0.5282843590131128,0.32259019889028767,36,31-50,0.2641534391534391,1,0.09887566137566138,0.047949735449735444,0.1275793650793651,0.2641534391534391,0.1808201058201058,0.053505291005291,0.06044973544973545,0.16666666666666666,NA,NA,chránit,to protect,NA,NA,cz,words,verb,word_274,sociolex
chtít,1.5753416168494105,-0.4521279633057169,0.3831399694157922,46,18-30,0.30346790890269154,1,0.06433747412008282,0.18752587991718428,0.30346790890269154,0.17665631469979293,0.011801242236024845,0.013975155279503104,0.003105590062111801,0.2391304347826087,NA,NA,chtít,to want,NA,NA,cz,words,verb,word_277,sociolex
chudá,-0.4788872484645462,0.30642711906867987,-0.037331065735149736,43,no age,0.32558139534883723,1,0.01661129568106312,0.07475083056478406,0.1898671096345515,0.16079734219269107,0.06196013289036544,0.1317275747508306,0.03870431893687707,0.32558139534883723,NA,NA,chudá,poor,f,NA,cz,words,adjective,word_278,sociolex
