item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
Estonsko,NA,NA,Estonsko,Estonia,n,i,cz,words,noun,word_465,sociolex
estrogen,NA,NA,estrogen,estrogen,m,i,cz,words,noun,word_466,sociolex
evoluce,NA,NA,evoluce,evolution,f,i,cz,words,noun,word_467,sociolex
Evropa,NA,NA,Evropa,Europe,f,i,cz,words,noun,word_468,sociolex
exil,NA,NA,exil,exile,m,i,cz,words,noun,word_473,sociolex
exotika,NA,NA,exotika,exoticism,f,i,cz,words,noun,word_475,sociolex
extáze,NA,NA,extáze,ecstasy,f,i,cz,words,noun,word_476,sociolex
fašizmus,NA,NA,fašizmus,fascism,m,i,cz,words,noun,word_488,sociolex
fastfood,NA,NA,fastfood,fast food restaurant,m,i,cz,words,noun,word_489,sociolex
fax,NA,NA,fax,fax,m,i,cz,words,noun,word_490,sociolex
federalismus,NA,NA,federalismus,federalism,m,i,cz,words,noun,word_491,sociolex
feminismus,NA,NA,feminismus,feminism,m,i,cz,words,noun,word_492,sociolex
fén,NA,NA,fén,hairdryer,m,i,cz,words,noun,word_493,sociolex
filet,NA,NA,filet,fillet,m,i,cz,words,noun,word_501,sociolex
film,NA,NA,film,film,m,i,cz,words,noun,word_503,sociolex
filosofie,NA,NA,filosofie,philosophy,f,i,cz,words,noun,word_504,sociolex
filozofie,NA,NA,filozofie,philosophy,f,i,cz,words,noun,word_505,sociolex
Finsko,NA,NA,Finsko,Finland,n,i,cz,words,noun,word_506,sociolex
firma,NA,NA,firma,company,f,i,cz,words,noun,word_507,sociolex
flashdisk,NA,NA,flashdisk,flash drive,m,i,cz,words,noun,word_508,sociolex
florbal,NA,NA,florbal,floorball,m,i,cz,words,noun,word_509,sociolex
folklor,NA,NA,folklor,folklore,m,i,cz,words,noun,word_510,sociolex
formule,NA,NA,formule,formula,f,i,cz,words,noun,word_511,sociolex
fotbal,NA,NA,fotbal,football,m,i,cz,words,noun,word_512,sociolex
frak,NA,NA,frak,tailcoat,m,i,cz,words,noun,word_518,sociolex
Francie,NA,NA,Francie,France,f,i,cz,words,noun,word_519,sociolex
francouzština,NA,NA,francouzština,French (language),f,i,cz,words,noun,word_522,sociolex
frustrace,NA,NA,frustrace,frustration,f,i,cz,words,noun,word_524,sociolex
fyzika,NA,NA,fyzika,physics,f,i,cz,words,noun,word_529,sociolex
galerie,NA,NA,galerie,gallery,f,i,cz,words,noun,word_530,sociolex
garáž,NA,NA,garáž,garage,f,i,cz,words,noun,word_531,sociolex
gender,NA,NA,gender,gender,m,i,cz,words,noun,word_533,sociolex
gerbera,NA,NA,gerbera,gerbera (daisy),f,i,cz,words,noun,word_534,sociolex
gól,NA,NA,gól,goal,m,i,cz,words,noun,word_536,sociolex
golf,NA,NA,golf,golf,m,i,cz,words,noun,word_537,sociolex
gotika,NA,NA,gotika,gothic,f,i,cz,words,noun,word_539,sociolex
gramofon,NA,NA,gramofon,gramophone,m,i,cz,words,noun,word_540,sociolex
granát,NA,NA,granát,grenade,m,i,cz,words,noun,word_541,sociolex
gymnastika,NA,NA,gymnastika,gymnastics,f,i,cz,words,noun,word_547,sociolex
gymnázium,NA,NA,gymnázium,grammar school,n,i,cz,words,noun,word_549,sociolex
hadr,NA,NA,hadr,rag,m,i,cz,words,noun,word_554,sociolex
halušky,NA,NA,halušky,potato dumpling,f,i,cz,words,noun,word_555,sociolex
hardware,NA,NA,hardware,hardware,m,i,cz,words,noun,word_557,sociolex
herna,NA,NA,herna,casino,f,i,cz,words,noun,word_561,sociolex
heroin,NA,NA,heroin,heroin,m,i,cz,words,noun,word_562,sociolex
hever,NA,NA,hever,car jack,m,i,cz,words,noun,word_563,sociolex
hinduismus,NA,NA,hinduismus,Hinduism,m,i,cz,words,noun,word_566,sociolex
hlava,NA,NA,hlava,head (body part),f,i,cz,words,noun,word_579,sociolex
hloupost,NA,NA,hloupost,stupidity,f,i,cz,words,noun,word_584,sociolex
hmyz,NA,NA,hmyz,insect,m,i,cz,words,noun,word_592,sociolex
hnáta,NA,NA,hnáta,limb (body),f,i,cz,words,noun,word_593,sociolex
hněv,NA,NA,hněv,anger,m,i,cz,words,noun,word_598,sociolex
hokej,NA,NA,hokej,hockey,m,i,cz,words,noun,word_604,sociolex
