item,image,multiple,word_czech,word_english,semantic_category,grammatical_gender,animacy,language,version,pos,item_ID,role_noun,animal_person,source,pos_category
PICTURE_105,PICTURE_105,1,jelen,deer,animal1,m,a,cz,gray,noun,image_6,0,2,multipic,NA
PICTURE_015,PICTURE_015,1,lev,lion,animal1,m,a,cz,gray,noun,image_41,0,2,multipic,NA
PICTURE_319,PICTURE_319,1,kráva,cow,animal1,f,a,cz,gray,noun,image_168,0,2,multipic,NA
PICTURE_400,PICTURE_400,1,kachna,duck (animal),animal1,f,a,cz,gray,noun,image_223,0,2,multipic,NA
PICTURE_570,PICTURE_570,1,býk,bull,animal1,m,a,cz,gray,noun,image_348,0,2,multipic,NA
PICTURE_636,PICTURE_636,1,ovce,sheep,animal1,f,a,cz,gray,noun,image_399,0,2,multipic,NA
nos,PICTURE_100,1,nos,nose,body,m,i,cz,words,noun,image_2,0,0,multipic,NA
vlasy,PICTURE_102,1,vlasy,hair,body,!,i,cz,words,noun,image_4,0,0,multipic,NA
plíce,PICTURE_112,1,plíce,lung,body,!,i,cz,words,noun,image_13,0,0,multipic,NA
rána,PICTURE_118,1,rána,cut (wound),body,f,i,cz,words,noun,image_19,0,0,multipic,NA
vousy,PICTURE_159,1,vousy,beard,body,!,i,cz,words,noun,image_48,0,0,multipic,NA
záda,PICTURE_169,1,záda,back (body part),body,!,i,cz,words,noun,image_56,0,0,multipic,NA
kostra,PICTURE_020,1,kostra,skeleton,body,f,i,cz,words,noun,image_78,0,0,multipic,NA
kotník,PICTURE_205,1,kotník,ankle,body,m,i,cz,words,noun,image_81,0,0,multipic,NA
jizva,PICTURE_207,1,jizva,scar,body,f,i,cz,words,noun,image_82,0,0,multipic,NA
bradavka,PICTURE_210,1,bradavka,nipple,body,f,i,cz,words,noun,image_86,0,0,multipic,NA
koleno,PICTURE_222,1,koleno,knee,body,n,i,cz,words,noun,image_92,0,0,multipic,NA
prso,PICTURE_231,1,prso,chest,body,n,i,cz,words,noun,image_99,0,0,multipic,NA
kost,PICTURE_024,1,kost,bone,body,f,i,cz,words,noun,image_107,0,0,multipic,NA
oko,PICTURE_241,1,oko,eye,body,n,i,cz,words,noun,image_109,0,0,multipic,NA
mozek,PICTURE_247,1,mozek,brain,body,m,i,cz,words,noun,image_114,0,0,multipic,NA
ruka,PICTURE_264,1,ruka,hand,body,f,i,cz,words,noun,image_125,0,0,multipic,NA
nehet,PICTURE_289,1,nehet,nail (finger),body,m,i,cz,words,noun,image_144,0,0,multipic,NA
ucho,PICTURE_035,1,ucho,ear,body,n,i,cz,words,noun,image_188,0,0,multipic,NA
ukazováček,PICTURE_408,1,ukazováček,finger,body,m,i,cz,words,noun,image_227,0,0,multipic,NA
pěst,PICTURE_411,1,pěst,fist,body,f,i,cz,words,noun,image_230,0,0,multipic,NA
palec,PICTURE_438,1,palec,thumb,body,m,i,cz,words,noun,image_248,0,0,multipic,NA
chodidlo,PICTURE_455,1,chodidlo,foot,body,n,i,cz,words,noun,image_260,0,0,multipic,NA
paže,PICTURE_473,1,paže,arm,body,f,i,cz,words,noun,image_274,0,0,multipic,NA
knír,PICTURE_494,1,knír,moustache,body,m,i,cz,words,noun,image_288,0,0,multipic,NA
rameno,PICTURE_005,1,rameno,shoulder,body,n,i,cz,words,noun,image_292,0,0,multipic,NA
jazyk,PICTURE_503,1,jazyk,tongue,body,m,i,cz,words,noun,image_296,0,0,multipic,NA
obličej,PICTURE_510,1,obličej,face,body,m,i,cz,words,noun,image_302,0,0,multipic,NA
rty,PICTURE_513,1,rty,lips,body,!,i,cz,words,noun,image_303,0,0,multipic,NA
loket,PICTURE_056,1,loket,elbow,body,m,i,cz,words,noun,image_337,0,0,multipic,NA
